Date,Product,Quantity
2023-01-17,Olive Oil,15
2023-01-17,Organic Green Tea,19
2023-01-17,Shampoo,19
2023-01-17,Sparkling Water,21
2023-01-17,Whole Wheat Bread,52
2023-01-18,Cat Food,21
2023-01-18,Chocolate Bars,20
2023-01-18,Coffee Beans,41
2023-01-18,Energy Drinks,19
2023-01-18,Laundry Detergent,11
2023-01-18,Olive Oil,18
2023-01-18,Organic Green Tea,19
2023-01-18,Shampoo,16
2023-01-18,Sparkling Water,23
2023-01-18,Whole Wheat Bread,45
2023-01-19,Cat Food,21
2023-01-19,Chocolate Bars,31
2023-01-19,Coffee Beans,34
2023-01-19,Energy Drinks,32
2023-01-19,Laundry Detergent,11
2023-01-19,Olive Oil,17
2023-01-19,Organic Green Tea,18
2023-01-19,Shampoo,18
2023-01-19,Sparkling Water,28
2023-01-19,Whole Wheat Bread,51
2023-01-20,Cat Food,19
2023-01-20,Chocolate Bars,26
2023-01-20,Coffee Beans,31
2023-01-20,Energy Drinks,34
2023-01-20,Laundry Detergent,11
2023-01-20,Olive Oil,19
2023-01-20,Organic Green Tea,19
2023-01-20,Shampoo,19
2023-01-20,Sparkling Water,23
2023-01-20,Whole Wheat Bread,47
2023-01-21,Cat Food,27
2023-01-21,Chocolate Bars,32
2023-01-21,Coffee Beans,62
2023-01-21,Energy Drinks,34
2023-01-21,Laundry Detergent,11
2023-01-21,Olive Oil,17
2023-01-21,Organic Green Tea,20
2023-01-21,Shampoo,19
2023-01-21,Sparkling Water,39
2023-01-21,Whole Wheat Bread,54
2023-01-22,Cat Food,20
2023-01-22,Chocolate Bars,32
2023-01-22,Coffee Beans,49
2023-01-22,Energy Drinks,34
2023-01-22,Laundry Detergent,11
2023-01-22,Olive Oil,16
2023-01-22,Organic Green Tea,21
2023-01-22,Shampoo,17
2023-01-22,Sparkling Water,28
2023-01-22,Whole Wheat Bread,46
2023-01-23,Cat Food,23
2023-01-23,Chocolate Bars,26
2023-01-23,Coffee Beans,40
2023-01-23,Energy Drinks,29
2023-01-23,Laundry Detergent,11
2023-01-23,Olive Oil,18
2023-01-23,Organic Green Tea,24
2023-01-23,Shampoo,17
2023-01-23,Sparkling Water,26
2023-01-23,Whole Wheat Bread,48
2023-01-24,Cat Food,25
2023-01-24,Chocolate Bars,33
2023-01-24,Coffee Beans,31
2023-01-24,Energy Drinks,25
2023-01-24,Laundry Detergent,13
2023-01-24,Olive Oil,19
2023-01-24,Organic Green Tea,19
2023-01-24,Shampoo,17
2023-01-24,Sparkling Water,29
2023-01-24,Whole Wheat Bread,33
2023-01-25,Cat Food,24
2023-01-25,Chocolate Bars,26
2023-01-25,Coffee Beans,36
2023-01-25,Energy Drinks,27
2023-01-25,Laundry Detergent,13
2023-01-25,Olive Oil,16
2023-01-25,Organic Green Tea,28
2023-01-25,Shampoo,19
2023-01-25,Sparkling Water,19
2023-01-25,Whole Wheat Bread,47
2023-01-26,Cat Food,30
2023-01-26,Chocolate Bars,31
2023-01-26,Coffee Beans,52
2023-01-26,Energy Drinks,59
2023-01-26,Laundry Detergent,15
2023-01-26,Olive Oil,25
2023-01-26,Organic Green Tea,31
2023-01-26,Shampoo,28
2023-01-26,Sparkling Water,25
2023-01-26,Whole Wheat Bread,57
2023-01-27,Cat Food,28
2023-01-27,Chocolate Bars,33
2023-01-27,Coffee Beans,44
2023-01-27,Energy Drinks,38
2023-01-27,Laundry Detergent,20
2023-01-27,Olive Oil,22
2023-01-27,Organic Green Tea,32
2023-01-27,Shampoo,26
2023-01-27,Sparkling Water,27
2023-01-27,Whole Wheat Bread,72
2023-01-28,Cat Food,28
2023-01-28,Chocolate Bars,48
2023-01-28,Coffee Beans,78
2023-01-28,Energy Drinks,52
2023-01-28,Laundry Detergent,15
2023-01-28,Olive Oil,17
2023-01-28,Organic Green Tea,30
2023-01-28,Shampoo,28
2023-01-28,Sparkling Water,49
2023-01-28,Whole Wheat Bread,82
2023-01-29,Cat Food,30
2023-01-29,Chocolate Bars,57
2023-01-29,Coffee Beans,66
2023-01-29,Energy Drinks,43
2023-01-29,Laundry Detergent,12
2023-01-29,Olive Oil,26
2023-01-29,Organic Green Tea,35
2023-01-29,Shampoo,25
2023-01-29,Sparkling Water,36
2023-01-29,Whole Wheat Bread,80
2023-01-30,Cat Food,31
2023-01-30,Chocolate Bars,44
2023-01-30,Coffee Beans,51
2023-01-30,Energy Drinks,43
2023-01-30,Laundry Detergent,18
2023-01-30,Olive Oil,26
2023-01-30,Organic Green Tea,28
2023-01-30,Shampoo,25
2023-01-30,Sparkling Water,49
2023-01-30,Whole Wheat Bread,74
2023-01-31,Cat Food,35
2023-01-31,Chocolate Bars,30
2023-01-31,Coffee Beans,51
2023-01-31,Energy Drinks,37
2023-01-31,Laundry Detergent,15
2023-01-31,Olive Oil,27
2023-01-31,Organic Green Tea,32
2023-01-31,Shampoo,26
2023-01-31,Sparkling Water,32
2023-01-31,Whole Wheat Bread,62
2023-02-01,Cat Food,35
2023-02-01,Chocolate Bars,85
2023-02-01,Coffee Beans,74
2023-02-01,Energy Drinks,33
2023-02-01,Laundry Detergent,18
2023-02-01,Olive Oil,19
2023-02-01,Organic Green Tea,38
2023-02-01,Shampoo,28
2023-02-01,Sparkling Water,36
2023-02-01,Whole Wheat Bread,82
2023-02-02,Cat Food,36
2023-02-02,Chocolate Bars,59
2023-02-02,Coffee Beans,52
2023-02-02,Energy Drinks,51
2023-02-02,Laundry Detergent,11
2023-02-02,Olive Oil,25
2023-02-02,Organic Green Tea,30
2023-02-02,Shampoo,25
2023-02-02,Sparkling Water,46
2023-02-02,Whole Wheat Bread,69
2023-02-03,Cat Food,29
2023-02-03,Chocolate Bars,70
2023-02-03,Coffee Beans,49
2023-02-03,Energy Drinks,55
2023-02-03,Laundry Detergent,22
2023-02-03,Olive Oil,18
2023-02-03,Organic Green Tea,37
2023-02-03,Shampoo,30
2023-02-03,Sparkling Water,50
2023-02-03,Whole Wheat Bread,69
2023-02-04,Cat Food,39
2023-02-04,Chocolate Bars,69
2023-02-04,Coffee Beans,84
2023-02-04,Energy Drinks,48
2023-02-04,Laundry Detergent,18
2023-02-04,Olive Oil,28
2023-02-04,Organic Green Tea,32
2023-02-04,Shampoo,25
2023-02-04,Sparkling Water,57
2023-02-04,Whole Wheat Bread,88
2023-02-05,Cat Food,33
2023-02-05,Chocolate Bars,80
2023-02-05,Coffee Beans,58
2023-02-05,Energy Drinks,30
2023-02-05,Laundry Detergent,12
2023-02-05,Olive Oil,22
2023-02-05,Organic Green Tea,34
2023-02-05,Shampoo,26
2023-02-05,Sparkling Water,54
2023-02-05,Whole Wheat Bread,62
2023-02-06,Cat Food,30
2023-02-06,Chocolate Bars,64
2023-02-06,Coffee Beans,55
2023-02-06,Energy Drinks,47
2023-02-06,Laundry Detergent,14
2023-02-06,Olive Oil,31
2023-02-06,Organic Green Tea,38
2023-02-06,Shampoo,24
2023-02-06,Sparkling Water,41
2023-02-06,Whole Wheat Bread,58
2023-02-07,Cat Food,35
2023-02-07,Chocolate Bars,72
2023-02-07,Coffee Beans,42
2023-02-07,Energy Drinks,31
2023-02-07,Laundry Detergent,20
2023-02-07,Olive Oil,28
2023-02-07,Organic Green Tea,27
2023-02-07,Shampoo,24
2023-02-07,Sparkling Water,40
2023-02-07,Whole Wheat Bread,62
2023-02-08,Cat Food,42
2023-02-08,Chocolate Bars,70
2023-02-08,Coffee Beans,44
2023-02-08,Energy Drinks,44
2023-02-08,Laundry Detergent,15
2023-02-08,Olive Oil,21
2023-02-08,Organic Green Tea,36
2023-02-08,Shampoo,28
2023-02-08,Sparkling Water,44
2023-02-08,Whole Wheat Bread,65
2023-02-09,Cat Food,20
2023-02-09,Chocolate Bars,48
2023-02-09,Coffee Beans,41
2023-02-09,Energy Drinks,14
2023-02-09,Laundry Detergent,11
2023-02-09,Olive Oil,15
2023-02-09,Organic Green Tea,24
2023-02-09,Shampoo,19
2023-02-09,Sparkling Water,23
2023-02-09,Whole Wheat Bread,43
2023-02-10,Cat Food,23
2023-02-10,Chocolate Bars,38
2023-02-10,Coffee Beans,44
2023-02-10,Energy Drinks,34
2023-02-10,Laundry Detergent,8
2023-02-10,Olive Oil,19
2023-02-10,Organic Green Tea,21
2023-02-10,Shampoo,23
2023-02-10,Sparkling Water,22
2023-02-10,Whole Wheat Bread,54
2023-02-11,Cat Food,18
2023-02-11,Chocolate Bars,43
2023-02-11,Coffee Beans,53
2023-02-11,Energy Drinks,27
2023-02-11,Laundry Detergent,12
2023-02-11,Olive Oil,16
2023-02-11,Organic Green Tea,27
2023-02-11,Shampoo,18
2023-02-11,Sparkling Water,31
2023-02-11,Whole Wheat Bread,52
2023-02-12,Cat Food,24
2023-02-12,Chocolate Bars,52
2023-02-12,Coffee Beans,51
2023-02-12,Energy Drinks,47
2023-02-12,Laundry Detergent,12
2023-02-12,Olive Oil,18
2023-02-12,Organic Green Tea,28
2023-02-12,Shampoo,17
2023-02-12,Sparkling Water,30
2023-02-12,Whole Wheat Bread,55
2023-02-13,Cat Food,24
2023-02-13,Chocolate Bars,48
2023-02-13,Coffee Beans,38
2023-02-13,Energy Drinks,28
2023-02-13,Laundry Detergent,14
2023-02-13,Olive Oil,17
2023-02-13,Organic Green Tea,24
2023-02-13,Shampoo,19
2023-02-13,Sparkling Water,24
2023-02-13,Whole Wheat Bread,46
2023-02-14,Cat Food,23
2023-02-14,Chocolate Bars,39
2023-02-14,Coffee Beans,31
2023-02-14,Energy Drinks,21
2023-02-14,Laundry Detergent,10
2023-02-14,Olive Oil,14
2023-02-14,Organic Green Tea,18
2023-02-14,Shampoo,16
2023-02-14,Sparkling Water,29
2023-02-14,Whole Wheat Bread,39
2023-02-15,Cat Food,22
2023-02-15,Chocolate Bars,49
2023-02-15,Coffee Beans,36
2023-02-15,Energy Drinks,25
2023-02-15,Laundry Detergent,9
2023-02-15,Olive Oil,13
2023-02-15,Organic Green Tea,21
2023-02-15,Shampoo,19
2023-02-15,Sparkling Water,31
2023-02-15,Whole Wheat Bread,50
2023-02-16,Cat Food,19
2023-02-16,Chocolate Bars,53
2023-02-16,Coffee Beans,37
2023-02-16,Energy Drinks,33
2023-02-16,Laundry Detergent,13
2023-02-16,Olive Oil,19
2023-02-16,Organic Green Tea,22
2023-02-16,Shampoo,19
2023-02-16,Sparkling Water,27
2023-02-16,Whole Wheat Bread,39
2023-02-17,Cat Food,24
2023-02-17,Chocolate Bars,33
2023-02-17,Coffee Beans,47
2023-02-17,Energy Drinks,29
2023-02-17,Laundry Detergent,14
2023-02-17,Olive Oil,17
2023-02-17,Organic Green Tea,23
2023-02-17,Shampoo,20
2023-02-17,Sparkling Water,33
2023-02-17,Whole Wheat Bread,48
2023-02-18,Cat Food,27
2023-02-18,Chocolate Bars,41
2023-02-18,Coffee Beans,55
2023-02-18,Energy Drinks,45
2023-02-18,Laundry Detergent,9
2023-02-18,Olive Oil,17
2023-02-18,Organic Green Tea,27
2023-02-18,Shampoo,20
2023-02-18,Sparkling Water,25
2023-02-18,Whole Wheat Bread,46
2023-02-19,Cat Food,22
2023-02-19,Chocolate Bars,48
2023-02-19,Coffee Beans,39
2023-02-19,Energy Drinks,59
2023-02-19,Laundry Detergent,14
2023-02-19,Olive Oil,20
2023-02-19,Organic Green Tea,26
2023-02-19,Shampoo,18
2023-02-19,Sparkling Water,31
2023-02-19,Whole Wheat Bread,64
2023-02-20,Cat Food,25
2023-02-20,Chocolate Bars,43
2023-02-20,Coffee Beans,42
2023-02-20,Energy Drinks,17
2023-02-20,Laundry Detergent,12
2023-02-20,Olive Oil,21
2023-02-20,Organic Green Tea,19
2023-02-20,Shampoo,18
2023-02-20,Sparkling Water,23
2023-02-20,Whole Wheat Bread,53
2023-02-21,Cat Food,20
2023-02-21,Chocolate Bars,37
2023-02-21,Coffee Beans,38
2023-02-21,Energy Drinks,40
2023-02-21,Laundry Detergent,14
2023-02-21,Olive Oil,18
2023-02-21,Organic Green Tea,24
2023-02-21,Shampoo,18
2023-02-21,Sparkling Water,18
2023-02-21,Whole Wheat Bread,49
2023-02-22,Cat Food,25
2023-02-22,Chocolate Bars,52
2023-02-22,Coffee Beans,36
2023-02-22,Energy Drinks,29
2023-02-22,Laundry Detergent,12
2023-02-22,Olive Oil,17
2023-02-22,Organic Green Tea,25
2023-02-22,Shampoo,17
2023-02-22,Sparkling Water,26
2023-02-22,Whole Wheat Bread,55
2023-02-23,Cat Food,23
2023-02-23,Chocolate Bars,45
2023-02-23,Coffee Beans,44
2023-02-23,Energy Drinks,22
2023-02-23,Laundry Detergent,8
2023-02-23,Olive Oil,19
2023-02-23,Organic Green Tea,25
2023-02-23,Shampoo,19
2023-02-23,Sparkling Water,26
2023-02-23,Whole Wheat Bread,44
2023-02-24,Cat Food,22
2023-02-24,Chocolate Bars,41
2023-02-24,Coffee Beans,47
2023-02-24,Energy Drinks,19
2023-02-24,Laundry Detergent,12
2023-02-24,Olive Oil,15
2023-02-24,Organic Green Tea,26
2023-02-24,Shampoo,17
2023-02-24,Sparkling Water,34
2023-02-24,Whole Wheat Bread,51
2023-02-25,Cat Food,22
2023-02-25,Chocolate Bars,35
2023-02-25,Coffee Beans,60
2023-02-25,Energy Drinks,38
2023-02-25,Laundry Detergent,14
2023-02-25,Olive Oil,19
2023-02-25,Organic Green Tea,28
2023-02-25,Shampoo,18
2023-02-25,Sparkling Water,36
2023-02-25,Whole Wheat Bread,54
2023-02-26,Cat Food,23
2023-02-26,Chocolate Bars,36
2023-02-26,Coffee Beans,46
2023-02-26,Energy Drinks,49
2023-02-26,Laundry Detergent,11
2023-02-26,Olive Oil,20
2023-02-26,Organic Green Tea,27
2023-02-26,Shampoo,17
2023-02-26,Sparkling Water,26
2023-02-26,Whole Wheat Bread,55
2023-02-27,Cat Food,25
2023-02-27,Chocolate Bars,44
2023-02-27,Coffee Beans,39
2023-02-27,Energy Drinks,28
2023-02-27,Laundry Detergent,12
2023-02-27,Olive Oil,20
2023-02-27,Organic Green Tea,23
2023-02-27,Shampoo,20
2023-02-27,Sparkling Water,36
2023-02-27,Whole Wheat Bread,55
2023-02-28,Cat Food,21
2023-02-28,Chocolate Bars,24
2023-02-28,Coffee Beans,43
2023-02-28,Energy Drinks,39
2023-02-28,Laundry Detergent,12
2023-02-28,Olive Oil,14
2023-02-28,Organic Green Tea,19
2023-02-28,Shampoo,22
2023-02-28,Sparkling Water,33
2023-02-28,Whole Wheat Bread,52
2023-03-01,Cat Food,23
2023-03-01,Chocolate Bars,23
2023-03-01,Coffee Beans,42
2023-03-01,Energy Drinks,20
2023-03-01,Laundry Detergent,7
2023-03-01,Olive Oil,15
2023-03-01,Organic Green Tea,34
2023-03-01,Shampoo,17
2023-03-01,Sparkling Water,54
2023-03-01,Whole Wheat Bread,48
2023-03-02,Cat Food,24
2023-03-02,Chocolate Bars,18
2023-03-02,Coffee Beans,34
2023-03-02,Energy Drinks,32
2023-03-02,Laundry Detergent,15
2023-03-02,Olive Oil,15
2023-03-02,Organic Green Tea,33
2023-03-02,Shampoo,16
2023-03-02,Sparkling Water,47
2023-03-02,Whole Wheat Bread,39
2023-03-03,Cat Food,21
2023-03-03,Chocolate Bars,31
2023-03-03,Coffee Beans,36
2023-03-03,Energy Drinks,22
2023-03-03,Laundry Detergent,11
2023-03-03,Olive Oil,17
2023-03-03,Organic Green Tea,34
2023-03-03,Shampoo,19
2023-03-03,Sparkling Water,41
2023-03-03,Whole Wheat Bread,42
2023-03-04,Cat Food,28
2023-03-04,Chocolate Bars,34
2023-03-04,Coffee Beans,40
2023-03-04,Energy Drinks,49
2023-03-04,Laundry Detergent,13
2023-03-04,Olive Oil,18
2023-03-04,Organic Green Tea,30
2023-03-04,Shampoo,19
2023-03-04,Sparkling Water,55
2023-03-04,Whole Wheat Bread,50
2023-03-05,Cat Food,22
2023-03-05,Chocolate Bars,22
2023-03-05,Coffee Beans,40
2023-03-05,Energy Drinks,55
2023-03-05,Laundry Detergent,12
2023-03-05,Olive Oil,20
2023-03-05,Organic Green Tea,31
2023-03-05,Shampoo,19
2023-03-05,Sparkling Water,71
2023-03-05,Whole Wheat Bread,52
2023-03-06,Cat Food,22
2023-03-06,Chocolate Bars,19
2023-03-06,Coffee Beans,42
2023-03-06,Energy Drinks,29
2023-03-06,Laundry Detergent,15
2023-03-06,Olive Oil,16
2023-03-06,Organic Green Tea,37
2023-03-06,Shampoo,18
2023-03-06,Sparkling Water,66
2023-03-06,Whole Wheat Bread,41
2023-03-07,Cat Food,22
2023-03-07,Chocolate Bars,23
2023-03-07,Coffee Beans,45
2023-03-07,Energy Drinks,11
2023-03-07,Laundry Detergent,13
2023-03-07,Olive Oil,16
2023-03-07,Organic Green Tea,33
2023-03-07,Shampoo,19
2023-03-07,Sparkling Water,64
2023-03-07,Whole Wheat Bread,58
2023-03-08,Cat Food,29
2023-03-08,Chocolate Bars,26
2023-03-08,Coffee Beans,37
2023-03-08,Energy Drinks,34
2023-03-08,Laundry Detergent,12
2023-03-08,Olive Oil,19
2023-03-08,Organic Green Tea,36
2023-03-08,Shampoo,20
2023-03-08,Sparkling Water,45
2023-03-08,Whole Wheat Bread,54
2023-03-09,Cat Food,26
2023-03-09,Chocolate Bars,13
2023-03-09,Coffee Beans,43
2023-03-09,Energy Drinks,36
2023-03-09,Laundry Detergent,11
2023-03-09,Olive Oil,18
2023-03-09,Organic Green Tea,33
2023-03-09,Shampoo,21
2023-03-09,Sparkling Water,40
2023-03-09,Whole Wheat Bread,49
2023-03-10,Cat Food,22
2023-03-10,Chocolate Bars,12
2023-03-10,Coffee Beans,39
2023-03-10,Energy Drinks,35
2023-03-10,Laundry Detergent,14
2023-03-10,Olive Oil,20
2023-03-10,Organic Green Tea,33
2023-03-10,Shampoo,16
2023-03-10,Sparkling Water,51
2023-03-10,Whole Wheat Bread,47
2023-03-11,Cat Food,27
2023-03-11,Chocolate Bars,20
2023-03-11,Coffee Beans,44
2023-03-11,Energy Drinks,59
2023-03-11,Laundry Detergent,9
2023-03-11,Olive Oil,18
2023-03-11,Organic Green Tea,41
2023-03-11,Shampoo,18
2023-03-11,Sparkling Water,41
2023-03-11,Whole Wheat Bread,50
2023-03-12,Cat Food,25
2023-03-12,Chocolate Bars,26
2023-03-12,Coffee Beans,51
2023-03-12,Energy Drinks,33
2023-03-12,Laundry Detergent,14
2023-03-12,Olive Oil,15
2023-03-12,Organic Green Tea,34
2023-03-12,Shampoo,19
2023-03-12,Sparkling Water,64
2023-03-12,Whole Wheat Bread,46
2023-03-13,Cat Food,25
2023-03-13,Chocolate Bars,21
2023-03-13,Coffee Beans,46
2023-03-13,Energy Drinks,38
2023-03-13,Laundry Detergent,10
2023-03-13,Olive Oil,14
2023-03-13,Organic Green Tea,34
2023-03-13,Shampoo,18
2023-03-13,Sparkling Water,49
2023-03-13,Whole Wheat Bread,47
2023-03-14,Cat Food,24
2023-03-14,Chocolate Bars,23
2023-03-14,Coffee Beans,37
2023-03-14,Energy Drinks,42
2023-03-14,Laundry Detergent,15
2023-03-14,Olive Oil,14
2023-03-14,Organic Green Tea,32
2023-03-14,Shampoo,22
2023-03-14,Sparkling Water,46
2023-03-14,Whole Wheat Bread,48
2023-03-15,Cat Food,23
2023-03-15,Chocolate Bars,15
2023-03-15,Coffee Beans,46
2023-03-15,Energy Drinks,18
2023-03-15,Laundry Detergent,13
2023-03-15,Olive Oil,19
2023-03-15,Organic Green Tea,32
2023-03-15,Shampoo,18
2023-03-15,Sparkling Water,36
2023-03-15,Whole Wheat Bread,41
2023-03-16,Cat Food,25
2023-03-16,Chocolate Bars,10
2023-03-16,Coffee Beans,23
2023-03-16,Energy Drinks,35
2023-03-16,Laundry Detergent,14
2023-03-16,Olive Oil,20
2023-03-16,Organic Green Tea,32
2023-03-16,Shampoo,19
2023-03-16,Sparkling Water,55
2023-03-16,Whole Wheat Bread,48
2023-03-17,Cat Food,23
2023-03-17,Chocolate Bars,23
2023-03-17,Coffee Beans,42
2023-03-17,Energy Drinks,28
2023-03-17,Laundry Detergent,13
2023-03-17,Olive Oil,21
2023-03-17,Organic Green Tea,35
2023-03-17,Shampoo,20
2023-03-17,Sparkling Water,46
2023-03-17,Whole Wheat Bread,46
2023-03-18,Cat Food,29
2023-03-18,Chocolate Bars,19
2023-03-18,Coffee Beans,50
2023-03-18,Energy Drinks,44
2023-03-18,Laundry Detergent,9
2023-03-18,Olive Oil,19
2023-03-18,Organic Green Tea,35
2023-03-18,Shampoo,18
2023-03-18,Sparkling Water,48
2023-03-18,Whole Wheat Bread,42
2023-03-19,Cat Food,21
2023-03-19,Chocolate Bars,14
2023-03-19,Coffee Beans,47
2023-03-19,Energy Drinks,49
2023-03-19,Laundry Detergent,11
2023-03-19,Olive Oil,20
2023-03-19,Organic Green Tea,43
2023-03-19,Shampoo,16
2023-03-19,Sparkling Water,29
2023-03-19,Whole Wheat Bread,47
2023-03-20,Cat Food,28
2023-03-20,Chocolate Bars,20
2023-03-20,Coffee Beans,38
2023-03-20,Energy Drinks,28
2023-03-20,Laundry Detergent,14
2023-03-20,Olive Oil,16
2023-03-20,Organic Green Tea,30
2023-03-20,Shampoo,18
2023-03-20,Sparkling Water,51
2023-03-20,Whole Wheat Bread,45
2023-03-21,Cat Food,24
2023-03-21,Chocolate Bars,23
2023-03-21,Coffee Beans,27
2023-03-21,Energy Drinks,27
2023-03-21,Laundry Detergent,13
2023-03-21,Olive Oil,15
2023-03-21,Organic Green Tea,33
2023-03-21,Shampoo,21
2023-03-21,Sparkling Water,67
2023-03-21,Whole Wheat Bread,56
2023-03-22,Cat Food,25
2023-03-22,Chocolate Bars,19
2023-03-22,Coffee Beans,37
2023-03-22,Energy Drinks,33
2023-03-22,Laundry Detergent,15
2023-03-22,Olive Oil,19
2023-03-22,Organic Green Tea,32
2023-03-22,Shampoo,19
2023-03-22,Sparkling Water,66
2023-03-22,Whole Wheat Bread,49
2023-03-23,Cat Food,27
2023-03-23,Chocolate Bars,18
2023-03-23,Coffee Beans,40
2023-03-23,Energy Drinks,24
2023-03-23,Laundry Detergent,13
2023-03-23,Olive Oil,18
2023-03-23,Organic Green Tea,40
